source,target,bitwidth,n_iter,t_error_p2pl
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,2,11.288729966433937
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,5,9.08206591871562
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,10,8.823226288911199
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,20,8.712127550407075
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,14,50,8.651114706370453
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,2,11.246360810550302
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,5,8.713914978331017
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,10,8.709776792905759
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,20,8.689631214943612
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,15,50,8.648526703814252
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,2,11.004806339708422
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,5,8.432634972697976
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,10,8.641030726004384
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,20,8.669651522938564
source_2025-12-12_13.00.34/17,target_bolt-5_id-10134.pcd,16,50,8.654818498217903
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,2,12.459180493561712
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,5,9.22159861253163
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,10,9.087686973570417
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,20,10.256639098475635
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,10,50,11.133531437005614
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,11,2,10.948046011498151
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,11,5,8.984748182568397
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,11,10,9.247125442333147
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,11,20,9.553228508984754
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,11,50,10.129197356554174
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,12,2,9.8447914313616
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,12,5,9.057038129602606
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,12,10,9.1907192421851
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,12,20,9.47364096194695
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,12,50,9.878749674871647
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,13,2,10.372462396994736
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,13,5,8.952971950172605
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,13,10,9.247535618940374
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,13,20,9.523317326655711
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,13,50,9.687934548015244
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,14,2,10.107309509915899
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,14,5,9.05013709654947
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,14,10,9.26778018829847
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,14,20,9.50402712199204
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,14,50,9.63128092379691
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,15,2,9.908933295426094
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,15,5,9.107683094937917
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,15,10,9.181857384536055
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,15,20,9.509731067565902
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,15,50,9.607151757417766
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,16,2,10.005113896405549
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,16,5,9.111079347013451
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,16,10,9.203974565560168
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,16,20,9.504561922073087
source_2025-12-12_13.00.34/17,target_bolt-5_id-10197.pcd,16,50,9.617837478967152
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,10,2,12.770354186701281
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,10,5,11.07302342880098
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,10,10,11.379974542124387
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,10,20,11.294768338497843
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,10,50,11.43831475994939
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,11,2,12.678489753974436
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,11,5,10.880570963110042
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,11,10,11.2458185286312
source_2025-12-12_13.00.34/17,target_bolt-5_id-10196.pcd,11,20,11.691702699697075
